# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAC3	YBR085W	YBR085W_mRNA	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	2
AAD14	YNL331C	YNL331C_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
AAD6	YFL056C	YFL056C	pseudogene	0	0	0	4	0	0	0	0	0	0	0	0	0	4
AAH1	YNL141W	YNL141W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AAT2	YLR027C	YLR027C_mRNA	protein_coding	0	0	1	2	1	0	1	0	0	0	0	0	0	1
ABZ1	YNR033W	YNR033W_mRNA	protein_coding	0	0	1	3	1	0	1	0	0	0	0	0	0	2
ACB1	YGR037C	YGR037C_mRNA	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0	0
ACF2	YLR144C	YLR144C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ACH1	YBL015W	YBL015W_mRNA	protein_coding	0	2	0	22	11	0	0	0	0	0	0	0	2	11
ACM1	YPL267W	YPL267W_mRNA	protein_coding	0	0	1	4	2	0	1	0	0	0	0	0	0	2
ACO1	YLR304C	YLR304C_mRNA	protein_coding	0	4	0	6	1	0	0	0	0	0	0	0	4	5
ACS2	YLR153C	YLR153C_mRNA	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	1	3
ACT1	YFL039C	YFL039C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ADD37	YMR184W	YMR184W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ADE16	YLR028C	YLR028C_mRNA	protein_coding	0	1	0	1	1	0	0	0	1	0	0	1	0	0
ADE5,7	YGL234W	YGL234W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ADE6	YGR061C	YGR061C_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ADF1	YCL058W-A	YCL058W-A_mRNA	protein_coding	0	0	0	29	12	0	0	0	0	0	0	0	0	17
ADH4	YGL256W	YGL256W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ADY4	YLR227C	YLR227C_mRNA	protein_coding	0	1	1	7	7	0	1	0	0	0	0	0	1	0
AFB1	YLR040C	YLR040C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
AGA2	YGL032C	YGL032C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
AGC1	YPR021C	YPR021C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AGE2	YIL044C	YIL044C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AGP1	YCL025C	YCL025C_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0
AGP3	YFL055W	YFL055W_mRNA	protein_coding	0	3	0	2	2	0	0	0	0	0	0	0	3	0
AHP1	YLR109W	YLR109W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
AIM11	YER093C-A	YER093C-A_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AIM32	YML050W	YML050W_mRNA	protein_coding	0	3	0	18	11	0	0	0	0	0	0	0	3	7
AIM33	YML087C	YML087C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AKL1	YBR059C	YBR059C_mRNA	protein_coding	0	2	0	3	0	0	0	0	0	0	0	0	2	3
ALA1	YOR335C	YOR335C_mRNA	protein_coding	0	0	0	6	2	0	0	0	0	0	0	0	0	4
ALG11	YNL048W	YNL048W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ALG12	YNR030W	YNR030W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ALG14	YBR070C	YBR070C_mRNA	protein_coding	0	1	1	6	5	0	1	0	0	0	0	0	1	1
ALG7	YBR243C	YBR243C_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0
ALG8	YOR067C	YOR067C_mRNA	protein_coding	0	1	1	2	2	0	1	0	0	0	0	0	1	0
ALK2	YBL009W	YBL009W_mRNA	protein_coding	0	2	0	27	13	0	0	0	0	0	0	0	2	14
ALO1	YML086C	YML086C_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ALR2	YFL050C	YFL050C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ALT1	YLR089C	YLR089C_mRNA	protein_coding	0	2	1	20	12	0	1	0	0	0	0	0	2	8
ALT2	YDR111C	YDR111C_mRNA	protein_coding	0	2	1	3	1	0	1	0	0	0	0	0	2	2
