# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABP140	YOR239W	YOR239W_mRNA	protein_coding	0	0	1	0	0	0	0	1
ACO1	YLR304C	YLR304C_mRNA	protein_coding	0	0	1	0	0	0	0	1
ALT2	YDR111C	YDR111C_mRNA	protein_coding	1	0	0	0	0	0	1	0
ATP18	YML081C-A	YML081C-A_mRNA	protein_coding	0	0	1	1	0	0	0	0
BOS1	YLR078C	YLR078C_mRNA	protein_coding	0	0	1	0	0	0	0	1
CAT2	YML042W	YML042W_mRNA	protein_coding	0	0	1	1	0	0	0	0
CDA1	YLR307W	YLR307W_mRNA	protein_coding	0	0	1	0	0	0	0	1
CDC26	YFR036W	YFR036W_mRNA	protein_coding	0	0	1	1	0	0	0	0
CHA1	YCL064C	YCL064C_mRNA	protein_coding	1	0	1	1	0	0	1	0
CHS5	YLR330W	YLR330W_mRNA	protein_coding	0	0	2	2	0	0	0	0
CIN1	YOR349W	YOR349W_mRNA	protein_coding	0	0	1	0	0	0	0	1
DFR1	YOR236W	YOR236W_mRNA	protein_coding	0	0	1	0	0	0	0	1
DHR2	YKL078W	YKL078W_mRNA	protein_coding	0	0	1	1	0	0	0	0
ECM21	YBL101C	YBL101C_mRNA	protein_coding	0	0	1	0	0	0	0	1
EMP46	YLR080W	YLR080W_mRNA	protein_coding	0	0	1	1	0	0	0	0
EMP70	YLR083C	YLR083C_mRNA	protein_coding	0	0	1	1	0	0	0	0
FLO9	YAL063C	YAL063C_mRNA	protein_coding	1	0	0	0	0	0	1	0
FMP25	YLR077W	YLR077W_mRNA	protein_coding	0	0	1	1	0	0	0	0
FOB1	YDR110W	YDR110W_mRNA	protein_coding	0	0	1	1	0	0	0	0
GAL2	YLR081W	YLR081W_mRNA	protein_coding	1	0	0	0	0	0	1	0
GEF1	YJR040W	YJR040W_mRNA	protein_coding	0	1	1	1	1	0	0	0
GEX1	YCL073C	YCL073C_mRNA	protein_coding	0	0	1	0	0	0	0	1
HAP1	YLR256W	YLR256W_mRNA	protein_coding	1	0	0	0	0	0	1	0
HES1	YOR237W	YOR237W_mRNA	protein_coding	0	0	1	0	0	0	0	1
HMLALPHA1	YCL066W	YCL066W_mRNA	protein_coding	0	0	2	1	0	0	0	1
HMLALPHA2	YCL067C	YCL067C_mRNA	protein_coding	0	0	2	1	0	0	0	1
IMT3	tM(CAU)J3	tM(CAU)J3_tRNA	protein_coding	0	0	1	1	0	0	0	0
IRC13	YOR235W	YOR235W_mRNA	protein_coding	0	0	1	1	0	0	0	0
IRC2	YDR112W	YDR112W_mRNA	protein_coding	0	0	1	0	0	0	0	1
