# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAC3	YBR085W	YBR085W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
AAT2	YLR027C	YLR027C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
ABZ1	YNR033W	YNR033W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
ACB1	YGR037C	YGR037C_mRNA	protein_coding	0	0	3	3	0	0	0	0	0	0	0
ACH1	YBL015W	YBL015W_mRNA	protein_coding	0	0	19	11	0	0	0	0	0	0	8
ACM1	YPL267W	YPL267W_mRNA	protein_coding	0	0	2	1	0	0	0	0	0	0	1
ACO1	YLR304C	YLR304C_mRNA	protein_coding	3	0	4	3	0	0	0	0	0	3	1
ACS2	YLR153C	YLR153C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
ADE16	YLR028C	YLR028C_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
ADE5,7	YGL234W	YGL234W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
ADF1	YCL058W-A	YCL058W-A_mRNA	protein_coding	0	0	25	13	0	0	0	0	0	0	12
ADH4	YGL256W	YGL256W_mRNA	protein_coding	0	0	3	3	0	0	0	0	0	0	0
ADY4	YLR227C	YLR227C_mRNA	protein_coding	0	0	6	6	0	0	0	0	0	0	0
AEP3	YPL005W	YPL005W_mRNA	protein_coding	0	1	0	0	0	1	0	0	0	0	0
AFB1	YLR040C	YLR040C_mRNA	protein_coding	0	1	7	5	0	1	0	0	0	0	2
AGA2	YGL032C	YGL032C_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
AGE2	YIL044C	YIL044C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
AGP1	YCL025C	YCL025C_mRNA	protein_coding	0	0	4	4	0	0	0	0	0	0	0
AIM32	YML050W	YML050W_mRNA	protein_coding	4	0	10	8	0	0	0	0	0	4	2
AIM33	YML087C	YML087C_mRNA	protein_coding	1	0	4	0	0	0	0	0	0	1	4
AKL1	YBR059C	YBR059C_mRNA	protein_coding	0	1	2	1	0	1	0	0	0	0	1
ALA1	YOR335C	YOR335C_mRNA	protein_coding	1	0	4	3	0	0	0	0	0	1	1
ALG11	YNL048W	YNL048W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
ALG12	YNR030W	YNR030W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
ALG14	YBR070C	YBR070C_mRNA	protein_coding	0	0	3	3	0	0	0	0	0	0	0
ALG7	YBR243C	YBR243C_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
ALG8	YOR067C	YOR067C_mRNA	protein_coding	1	0	0	0	0	0	0	0	0	1	0
ALK2	YBL009W	YBL009W_mRNA	protein_coding	3	0	17	6	0	0	0	0	0	3	11
ALO1	YML086C	YML086C_mRNA	protein_coding	1	0	4	1	0	0	0	0	0	1	3
ALR2	YFL050C	YFL050C_mRNA	protein_coding	0	0	2	1	0	0	0	0	0	0	1
ALT1	YLR089C	YLR089C_mRNA	protein_coding	0	1	13	3	0	1	0	0	0	0	10
ALT2	YDR111C	YDR111C_mRNA	protein_coding	0	1	2	2	0	1	0	0	0	0	0
AMD1	YML035C	YML035C_mRNA	protein_coding	5	0	8	1	0	0	0	0	0	5	7
AME1	YBR211C	YBR211C_mRNA	protein_coding	0	0	4	3	0	0	0	0	0	0	1
ANB1	YJR047C	YJR047C_mRNA	protein_coding	0	0	14	13	0	0	0	0	0	0	1
APA1	YCL050C	YCL050C_mRNA	protein_coding	3	1	18	8	0	1	0	0	0	3	10
APC4	YDR118W	YDR118W_mRNA	protein_coding	0	0	4	4	0	0	0	0	0	0	0
APC9	YLR102C	YLR102C_mRNA	protein_coding	0	0	3	3	0	0	0	0	0	0	0
APN2	YBL019W	YBL019W_mRNA	protein_coding	2	2	13	7	0	2	0	0	0	2	6
APS2	YJR058C	YJR058C_mRNA	protein_coding	0	0	16	10	0	0	0	0	0	0	6
AQY1	YPR192W	YPR192W_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
ARA2	YMR041C	YMR041C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
ARC18	YLR370C	YLR370C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
ARC19	YKL013C	YKL013C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
ARG5,6	YER069W	YER069W_mRNA	protein_coding	0	1	0	0	0	1	0	0	0	0	0
ARG81	YML099C	YML099C_mRNA	protein_coding	1	3	3	1	0	3	0	0	0	1	2
ARO1	YDR127W	YDR127W_mRNA	protein_coding	1	0	9	0	0	0	0	0	0	1	9
ARP10	YDR106W	YDR106W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
ARP3	YJR065C	YJR065C_mRNA	protein_coding	2	0	9	4	0	0	0	0	0	2	5
ARP6	YLR085C	YLR085C_mRNA	protein_coding	0	0	10	5	0	0	0	0	0	0	5
ARV1	YLR242C	YLR242C_mRNA	protein_coding	0	0	5	4	0	0	0	0	0	0	1
ARX1	YDR101C	YDR101C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
ASG1	YIL130W	YIL130W_mRNA	protein_coding	0	0	4	3	0	0	0	0	0	0	1
ASN2	YGR124W	YGR124W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
ATG12	YBR217W	YBR217W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
ATG22	YCL038C	YCL038C_mRNA	protein_coding	0	0	4	4	0	0	0	0	0	0	0
ATG32	YIL146C	YIL146C_mRNA	protein_coding	0	0	5	4	0	0	0	0	0	0	1
ATG38	YLR211C	YLR211C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
ATP14	YLR295C	YLR295C_mRNA	protein_coding	1	0	6	2	0	0	0	0	0	1	4
ATP18	YML081C-A	YML081C-A_mRNA	protein_coding	0	0	3	3	0	0	0	0	0	0	0
ATP3	YBR039W	YBR039W_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
ATR1	YML116W	YML116W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
AVL9	YLR114C	YLR114C_mRNA	protein_coding	0	0	3	0	0	0	0	0	0	0	3
AVT4	YNL101W	YNL101W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
AXL2	YIL140W	YIL140W_mRNA	protein_coding	0	0	3	0	0	0	0	0	0	0	3
AYR1	YIL124W	YIL124W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
BAP2	YBR068C	YBR068C_mRNA	protein_coding	0	1	3	1	0	1	0	0	0	0	2
BET5	YML077W	YML077W_mRNA	protein_coding	0	0	3	3	0	0	0	0	0	0	0
